Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
18-01-2021,FAP,VESSEL,INVERTER,9,166,9,0,7,2,0,0.00,2.33,0.20,0.00,0,0,0,0,0,0,1,2,0,2,0,2,0,0,2,0,0,
18-01-2021,FEA,VESSEL,TEMPERATURE CONTROL,1,368,4,0,4,0,0,0.00,1.33,0.00,0.00,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,
18-01-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,5,24,6,0,6,0,0,0.00,2.00,0.00,0.00,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,
18-01-2021,FEC,VESSEL,TEMPERATURE CONTROL,1,245,5,0,5,0,0,0.00,1.67,0.00,0.00,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
18-01-2021,FET,COURIER,VENDING MACHINE,5,230,230,0,0,230,0,0.00,0.00,23.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,
19-01-2021,FEA NJ,VESSEL,INVERTER,2,19,3,0,1,2,0,0.00,0.33,0.20,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,
19-01-2021,FEE,VESSEL,INVERTER,3,22,6,0,5,1,0,0.00,1.67,0.10,0.00,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,
19-01-2021,FEE,VESSEL,INVERTER,1,100,1,0,0,0,1,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
19-01-2021,FEK,VESSEL,INVERTER,4,26,25,0,1,24,0,0.00,0.33,2.40,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,
19-01-2021,FEE,AIRCRAFT,INVERTER,3,63,3,0,3,0,0,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,
20-01-2021,FEID,VESSEL,INVERTER,5,162,6,0,5,1,0,0.00,1.67,0.10,0.00,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,
20-01-2021,FEE,VESSEL,INVERTER,1,10,10,0,0,10,0,0.00,0.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
20-01-2021,FEI,AIRCRAFT,INVERTER,12,1710,25,16,8,1,0,16.00,2.67,0.10,0.00,9,6,1,0,0,0,4,0,0,2,0,2,0,0,1,0,0,
20-01-2021,FET,COURIER,VENDING MACHINE,1,15,15,0,0,15,0,0.00,0.00,1.50,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,
20-01-2021,FEI,VESSEL,INVERTER,23,2943,95,43,18,34,0,43.00,6.00,3.40,0.00,18,22,3,0,0,0,2,3,0,5,4,4,0,0,34,0,0,
21-01-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,2,2178,6,2,4,0,0,2.00,1.33,0.00,0.00,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
22-01-2021,FAP,VESSEL,INVERTER,4,46,13,1,3,9,0,1.00,1.00,0.90,0.00,0,1,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,
22-01-2021,FEID,AIRCRAFT,TEMPERATURE CONTROL,1,53,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
25-01-2021,FEA NJ,VESSEL,INVERTER,1,25,25,0,0,25,0,0.00,0.00,2.50,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,
25-01-2021,FAP,VESSEL,INVERTER,3,28,3,1,2,0,0,1.00,0.67,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
25-01-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,4,342,4,0,4,0,0,0.00,1.33,0.00,0.00,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,
25-01-2021,FEI,VESSEL,TEMPERATURE CONTROL,3,1309,12,0,12,0,0,0.00,4.00,0.00,0.00,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,
25-01-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,3,72,3,0,3,0,0,0.00,1.00,0.00,0.00,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,
26-01-2021,FEA TWMC,VESSEL,INVERTER,1,6,3,0,1,2,0,0.00,0.33,0.20,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
26-01-2021,FEA NJ,VESSEL,INVERTER,7,284,47,2,3,42,0,2.00,1.00,4.20,0.00,0,0,0,2,0,0,0,1,0,0,1,1,0,0,42,0,0,
27-01-2021,FEA NJ,VESSEL,INVERTER,2,3,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
27-01-2021,FEE,VESSEL,INVERTER,7,650,31,0,2,12,17,0.00,0.67,1.20,8.50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,17,
